MonthlyCharges,gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,OnlineBackup,Contract,PaperlessBilling,Churn
29.85,Female,0.00,Yes,No,1.00,DSL,Yes,Month-to-month,Yes,No
56.95,Male,0.00,No,No,34.00,DSL,No,One year,No,No
53.85,Male,0.00,No,No,2.00,DSL,Yes,Month-to-month,Yes,Yes
42.30,Male,0.00,No,No,45.00,DSL,No,One year,No,No
70.70,Female,0.00,No,No,2.00,Fiber optic,No,Month-to-month,Yes,Yes
99.65,Female,0.00,No,No,8.00,Fiber optic,No,Month-to-month,Yes,Yes
89.10,Male,0.00,No,Yes,22.00,Fiber optic,Yes,Month-to-month,Yes,No
29.75,Female,0.00,No,No,10.00,DSL,No,Month-to-month,No,No
104.80,Female,0.00,Yes,No,28.00,Fiber optic,No,Month-to-month,Yes,Yes
56.15,Male,0.00,No,Yes,62.00,DSL,Yes,One year,No,No
49.95,Male,0.00,Yes,Yes,13.00,DSL,No,Month-to-month,Yes,No
18.95,Male,0.00,No,No,16.00,No,No internet service,Two year,No,No
100.35,Male,0.00,Yes,No,58.00,Fiber optic,No,One year,No,No
103.70,Male,0.00,No,No,49.00,Fiber optic,Yes,Month-to-month,Yes,Yes
105.50,Male,0.00,No,No,25.00,Fiber optic,No,Month-to-month,Yes,No
113.25,Female,0.00,Yes,Yes,69.00,Fiber optic,Yes,Two year,No,No
20.65,Female,0.00,No,No,52.00,No,No internet service,One year,No,No
106.70,Male,0.00,No,Yes,71.00,Fiber optic,No,Two year,No,No
55.20,Female,0.00,Yes,Yes,10.00,DSL,No,Month-to-month,No,Yes
90.05,Female,0.00,No,No,21.00,Fiber optic,Yes,Month-to-month,Yes,No
39.65,Male,1.00,No,No,1.00,DSL,No,Month-to-month,Yes,Yes
19.80,Male,0.00,Yes,No,12.00,No,No internet service,One year,No,No
20.15,Male,0.00,No,No,1.00,No,No internet service,Month-to-month,No,Yes
59.90,Female,0.00,Yes,No,58.00,DSL,Yes,Two year,Yes,No
59.60,Male,0.00,Yes,Yes,49.00,DSL,Yes,Month-to-month,No,No
55.30,Female,0.00,No,No,30.00,DSL,Yes,Month-to-month,Yes,No
99.35,Male,0.00,Yes,Yes,47.00,Fiber optic,Yes,Month-to-month,Yes,Yes
30.20,Male,0.00,Yes,Yes,1.00,DSL,Yes,Month-to-month,No,Yes
90.25,Male,0.00,Yes,No,72.00,DSL,Yes,Two year,Yes,No
64.70,Female,0.00,No,Yes,17.00,DSL,No,Month-to-month,Yes,Yes
96.35,Female,1.00,Yes,No,71.00,Fiber optic,Yes,Two year,Yes,No
95.50,Male,1.00,Yes,No,2.00,Fiber optic,No,Month-to-month,Yes,No
66.15,Female,0.00,Yes,Yes,27.00,DSL,Yes,One year,No,No
20.20,Male,0.00,No,No,1.00,No,No internet service,Month-to-month,No,No
45.25,Male,1.00,No,No,1.00,DSL,No,Month-to-month,No,No
99.90,Female,0.00,Yes,Yes,72.00,Fiber optic,Yes,Two year,No,No
69.70,Male,0.00,No,No,5.00,Fiber optic,No,Month-to-month,Yes,Yes
74.80,Female,0.00,No,No,46.00,Fiber optic,No,Month-to-month,Yes,No
106.35,Male,0.00,No,No,34.00,Fiber optic,Yes,Month-to-month,Yes,Yes
97.85,Female,0.00,No,No,11.00,Fiber optic,No,Month-to-month,Yes,Yes
49.55,Male,0.00,Yes,Yes,10.00,DSL,Yes,One year,No,No
69.20,Female,0.00,Yes,Yes,70.00,DSL,Yes,Two year,Yes,No
20.75,Female,0.00,Yes,Yes,17.00,No,No internet service,One year,No,No
79.85,Female,0.00,No,No,63.00,DSL,Yes,Two year,Yes,No
76.20,Female,0.00,Yes,No,13.00,DSL,Yes,Month-to-month,Yes,No
84.50,Female,0.00,No,No,49.00,Fiber optic,No,Month-to-month,Yes,No
49.25,Male,0.00,No,No,2.00,DSL,Yes,Month-to-month,No,No
80.65,Female,0.00,No,No,2.00,Fiber optic,No,Month-to-month,Yes,Yes
79.75,Male,0.00,No,No,52.00,DSL,No,Two year,Yes,No
64.15,Female,0.00,Yes,Yes,69.00,DSL,No,Two year,Yes,No
90.25,Female,1.00,No,No,43.00,Fiber optic,Yes,Month-to-month,Yes,No
99.10,Female,0.00,No,No,15.00,Fiber optic,Yes,Month-to-month,Yes,Yes
69.50,Female,1.00,Yes,No,25.00,DSL,No,Month-to-month,Yes,No
80.65,Female,1.00,Yes,No,8.00,Fiber optic,Yes,Month-to-month,Yes,Yes
74.85,Female,1.00,Yes,Yes,60.00,DSL,Yes,One year,Yes,No
95.45,Male,1.00,No,No,18.00,Fiber optic,No,Month-to-month,Yes,Yes
99.65,Female,0.00,Yes,Yes,63.00,Fiber optic,No,One year,Yes,No
108.45,Male,1.00,Yes,Yes,66.00,Fiber optic,Yes,One year,Yes,No
24.95,Female,0.00,Yes,Yes,34.00,No,No internet service,Two year,No,No
107.50,Female,0.00,No,No,72.00,Fiber optic,No,Two year,Yes,No
100.50,Female,0.00,Yes,No,47.00,Fiber optic,No,Month-to-month,Yes,No
89.90,Male,0.00,No,No,60.00,Fiber optic,Yes,Month-to-month,Yes,No
42.10,Male,0.00,Yes,No,72.00,DSL,Yes,Two year,No,No
54.40,Female,0.00,Yes,Yes,18.00,DSL,No,One year,Yes,No
94.40,Female,0.00,No,No,9.00,Fiber optic,No,Month-to-month,No,Yes
75.30,Female,0.00,No,No,3.00,DSL,Yes,Month-to-month,Yes,No
78.90,Male,0.00,Yes,No,47.00,Fiber optic,Yes,One year,Yes,No
79.20,Female,0.00,No,No,31.00,DSL,Yes,Two year,No,No
20.15,Female,0.00,Yes,Yes,50.00,No,No internet service,Two year,No,No
79.85,Male,0.00,No,No,10.00,Fiber optic,No,Month-to-month,Yes,No
49.05,Male,0.00,No,No,1.00,DSL,No,Month-to-month,No,No
20.40,Female,0.00,Yes,Yes,52.00,No,No internet service,One year,Yes,No
111.60,Male,1.00,Yes,Yes,64.00,Fiber optic,No,Two year,Yes,No
24.25,Male,0.00,Yes,Yes,62.00,No,No internet service,Two year,Yes,No
64.50,Female,0.00,No,Yes,3.00,DSL,No,Month-to-month,Yes,No
110.50,Female,1.00,No,No,56.00,Fiber optic,Yes,One year,No,No
55.65,Female,0.00,No,No,46.00,DSL,No,One year,No,No
54.65,Female,0.00,Yes,Yes,8.00,DSL,Yes,Month-to-month,No,No
74.75,Male,1.00,No,No,30.00,DSL,Yes,Month-to-month,Yes,No
25.90,Female,0.00,Yes,Yes,45.00,No,No internet service,One year,Yes,No
79.35,Female,0.00,No,Yes,1.00,Fiber optic,No,Month-to-month,Yes,Yes
50.55,Female,0.00,Yes,Yes,11.00,DSL,No,Month-to-month,No,No
75.15,Female,0.00,Yes,No,7.00,Fiber optic,No,Month-to-month,Yes,Yes
103.80,Female,0.00,No,No,42.00,Fiber optic,Yes,Month-to-month,Yes,No
20.15,Female,0.00,Yes,No,49.00,No,No internet service,Two year,Yes,No
99.30,Male,0.00,No,No,9.00,Fiber optic,Yes,Month-to-month,Yes,No
62.15,Female,0.00,Yes,No,35.00,DSL,No,One year,Yes,No
20.65,Female,0.00,Yes,Yes,48.00,No,No internet service,Two year,No,No
19.95,Female,0.00,Yes,Yes,46.00,No,No internet service,Two year,Yes,No
33.75,Male,0.00,Yes,No,29.00,DSL,No,Month-to-month,No,No
82.05,Male,0.00,Yes,Yes,30.00,Fiber optic,Yes,Month-to-month,No,No
74.70,Male,1.00,No,No,1.00,Fiber optic,No,Month-to-month,No,No
84.00,Male,0.00,Yes,Yes,66.00,DSL,No,Two year,Yes,No
111.05,Female,0.00,No,No,65.00,Fiber optic,Yes,Month-to-month,Yes,No
100.90,Male,0.00,No,No,72.00,Fiber optic,Yes,Two year,Yes,No
78.95,Female,0.00,No,No,12.00,Fiber optic,No,Month-to-month,Yes,Yes
66.85,Male,0.00,Yes,Yes,71.00,DSL,Yes,One year,Yes,No
21.05,Male,0.00,No,No,5.00,No,No internet service,Month-to-month,No,Yes
21.00,Male,0.00,No,No,52.00,No,No internet service,Two year,No,No
98.50,Female,1.00,Yes,No,25.00,Fiber optic,Yes,Month-to-month,Yes,Yes
20.20,Male,0.00,No,No,1.00,No,No internet service,Month-to-month,No,No
19.45,Female,0.00,Yes,Yes,1.00,No,No internet service,Month-to-month,No,No
95.00,Male,0.00,No,No,38.00,Fiber optic,No,One year,No,No
45.55,Female,1.00,Yes,No,66.00,DSL,Yes,One year,No,No
110.00,Male,0.00,Yes,No,68.00,Fiber optic,Yes,Two year,Yes,Yes
24.30,Male,0.00,No,No,5.00,DSL,No,Month-to-month,No,No
104.15,Female,0.00,Yes,Yes,72.00,Fiber optic,Yes,One year,Yes,No
30.15,Female,0.00,No,No,32.00,DSL,No,One year,No,No
94.35,Male,0.00,No,No,43.00,Fiber optic,No,One year,No,No
19.40,Male,0.00,Yes,Yes,72.00,No,No internet service,Two year,No,No
96.75,Male,0.00,Yes,No,55.00,Fiber optic,Yes,Month-to-month,Yes,Yes
57.95,Female,0.00,No,No,52.00,DSL,No,One year,No,No
91.65,Female,0.00,No,No,43.00,Fiber optic,Yes,Month-to-month,Yes,No
76.50,Female,1.00,Yes,No,37.00,Fiber optic,No,Month-to-month,Yes,Yes
54.60,Female,0.00,Yes,Yes,64.00,DSL,Yes,Two year,Yes,No
89.85,Male,0.00,Yes,Yes,3.00,Fiber optic,Yes,Month-to-month,No,No
31.05,Female,0.00,No,No,36.00,DSL,No,Two year,No,No
100.25,Female,0.00,Yes,Yes,10.00,Fiber optic,No,Month-to-month,Yes,Yes
20.65,Female,0.00,No,No,41.00,No,No internet service,Two year,No,No
85.20,Male,0.00,Yes,Yes,27.00,Fiber optic,Yes,Month-to-month,Yes,No
99.80,Female,0.00,Yes,Yes,56.00,Fiber optic,No,One year,Yes,No
20.70,Female,0.00,No,No,6.00,No,No internet service,Month-to-month,No,No
74.40,Male,0.00,No,No,3.00,Fiber optic,No,Month-to-month,Yes,Yes
50.70,Female,0.00,Yes,Yes,7.00,DSL,No,Month-to-month,No,No
20.85,Female,0.00,Yes,Yes,4.00,No,No internet service,Month-to-month,No,No
88.95,Male,0.00,No,No,33.00,Fiber optic,No,Two year,Yes,No
78.05,Female,1.00,No,No,27.00,Fiber optic,No,Month-to-month,Yes,Yes
23.55,Male,0.00,Yes,No,72.00,No,No internet service,Two year,Yes,No
19.75,Male,0.00,No,No,1.00,No,No internet service,Month-to-month,No,No
56.45,Male,1.00,No,No,71.00,DSL,Yes,One year,Yes,No
85.95,Female,0.00,No,No,13.00,Fiber optic,No,Month-to-month,Yes,No
58.60,Female,0.00,Yes,Yes,25.00,DSL,Yes,Month-to-month,Yes,Yes
50.55,Male,0.00,No,No,67.00,DSL,No,Two year,No,No
35.45,Male,0.00,No,No,1.00,DSL,No,Month-to-month,Yes,Yes
44.35,Male,0.00,No,No,2.00,DSL,No,Month-to-month,No,Yes
25.70,Female,0.00,No,No,43.00,No,No internet service,Two year,Yes,No
75.00,Female,0.00,No,No,23.00,Fiber optic,No,Month-to-month,Yes,No
20.20,Female,0.00,Yes,Yes,64.00,No,No internet service,Two year,No,No
19.60,Male,0.00,No,Yes,57.00,No,No internet service,Two year,Yes,No
70.45,Female,1.00,Yes,No,1.00,Fiber optic,No,Month-to-month,Yes,Yes
88.05,Female,1.00,Yes,Yes,72.00,DSL,Yes,Two year,Yes,No
71.15,Female,0.00,No,No,8.00,DSL,No,Month-to-month,No,Yes
101.05,Female,0.00,Yes,No,61.00,Fiber optic,Yes,Two year,Yes,No
84.30,Male,0.00,No,No,64.00,Fiber optic,Yes,One year,Yes,No
23.95,Male,1.00,Yes,No,71.00,No,No internet service,Two year,No,No
99.05,Female,0.00,Yes,Yes,65.00,Fiber optic,Yes,Two year,Yes,No
19.60,Male,0.00,No,No,3.00,No,No internet service,One year,No,No
45.65,Male,0.00,No,No,1.00,DSL,No,Month-to-month,Yes,Yes
64.50,Male,0.00,No,Yes,30.00,DSL,Yes,One year,No,No
69.50,Male,0.00,Yes,Yes,15.00,DSL,Yes,Month-to-month,Yes,No
68.55,Female,0.00,Yes,Yes,8.00,DSL,No,Month-to-month,Yes,No
95.00,Male,0.00,No,No,7.00,Fiber optic,No,Month-to-month,No,Yes
108.15,Female,0.00,Yes,Yes,70.00,Fiber optic,Yes,One year,Yes,No
86.10,Male,0.00,Yes,Yes,62.00,DSL,Yes,Two year,No,No
19.70,Female,0.00,Yes,Yes,6.00,No,No internet service,Month-to-month,No,No
80.90,Female,0.00,Yes,Yes,14.00,Fiber optic,No,Month-to-month,Yes,No
84.15,Female,0.00,No,No,22.00,Fiber optic,No,Month-to-month,Yes,No
20.15,Male,0.00,Yes,Yes,22.00,No,No internet service,One year,No,No
64.25,Male,0.00,Yes,Yes,16.00,DSL,No,Two year,No,No
